Date,aum,net_flow,DPI_price
2021-01-24,64319007.57081052,69583.66833884332,248.3213227180896
2021-01-25,68358164.32833439,-258419.37478580052,264.37286468535984
2021-01-26,65947555.187722616,-315693.97066626494,258.0886264858598
2021-01-27,67523378.08664387,-868014.3458273351,265.90195564103635
2021-01-28,71343322.07525833,1881546.5709035725,277.7048866804415
2021-01-29,74444698.56421714,1570492.6729424873,279.59191606670447
2021-01-30,76801783.38302517,-98684.16925095853,304.7352144468789
2021-01-31,85510724.90511012,806392.0570303556,318.78713736774574
2021-02-01,83409084.05316581,343176.699698123,309.85320771646
2021-02-02,87559680.49636139,1931572.2543937413,316.53862474093893
2021-02-03,92989834.00760828,1459435.8694455656,331.1758643394908
2021-02-04,101265587.99691604,-1498453.0037142728,371.6116985753348
2021-02-05,116953415.44496454,2020434.680004234,418.057153298069
2021-02-06,114438434.42363174,833747.132790882,403.2946406797121
2021-02-07,108394814.98093146,-402058.4036564481,380.0701191014301
2021-02-08,113863366.3560004,-1734347.828285975,408.1933326363498
2021-02-09,114487555.68166454,980613.4829753584,407.2580247305957
2021-02-10,125860481.63246012,2370326.924174229,442.6280984853621
2021-02-11,128989045.78584342,456723.30859375,448.0716109123069
2021-02-12,132646782.24064542,-1399934.819302762,465.6469273610921
2021-02-13,132228425.25233217,392636.00429100514,465.3157745038668
2021-02-14,130459404.9354982,692897.5028281735,452.2429103531814
2021-02-15,123561306.10449694,1573222.7473178245,423.4697406208038
2021-02-16,124105391.3140083,-316401.91230871255,428.7483482647975
2021-02-17,122230215.59031488,1059636.7740167135,415.612369003717
2021-02-18,127745102.99463232,1102840.0252258398,433.2126200755964
2021-02-19,122332605.54978962,-1245298.8886370296,420.95309191047954
2021-02-20,137717053.58078462,-2430121.0909312936,485.5056709133974
2021-02-21,138506015.35203668,752750.0761373879,481.58370661923976
2021-02-22,125250420.75500102,-1106462.5653570364,438.5020826798433
2021-02-23,104897074.70102105,-774255.8832798023,369.4404220112641
2021-02-24,119305087.0226284,740672.1395633392,418.73545447345134
2021-02-25,113836051.18549009,-1506219.2957127313,405.0863221922245
2021-02-26,103084836.15866764,0.0,365.7820488204946
2021-02-27,106719781.48205777,-341869.81168591493,379.611522673233
2021-02-28,96872718.8854572,-679407.0964825177,351.49550427759823
2021-03-01,111580217.7807682,1034981.3852023692,397.30519541887776
2021-03-02,120427992.1435302,1359386.299381429,424.61963135718446
2021-03-03,122498365.77423242,412111.9788474532,429.21703547234574
2021-03-04,121360539.629447,-83616.01972675716,425.9391694511663
2021-03-05,115997478.61460508,2545.2593681679696,405.8977850014044
2021-03-06,121077774.24366172,966440.8397330212,421.5689358922127
2021-03-07,127830002.80171189,-149366.14010458603,446.4970577621349
2021-03-08,134055223.2817613,1979435.3335955415,461.6129665434919
2021-03-09,138475181.3937643,588562.9403670504,473.1192506039533
2021-03-10,137594677.21681735,1133439.485328627,465.9435490278115
2021-03-11,134904135.5187191,1890623.3794898288,451.0104786601804
2021-03-12,129987582.54179108,-999481.4798212844,438.7455187279645
2021-03-13,137776254.28948185,887429.1814945224,462.4494736509637
2021-03-14,135146307.39726865,568561.3658323145,450.9772337580748
2021-03-15,129210318.90156654,-411716.2347415896,432.85187351734623
2021-03-16,126411842.71603884,26761.43495022265,423.29974688476335
2021-03-17,129232765.91909266,711850.51600667,431.2852271396544
2021-03-18,132188249.87389454,-940113.2562607548,440.8720981375099
2021-03-19,130617721.5892,-644551.1700112147,440.11271619210015
2021-03-20,139074835.18378714,886881.5812584477,463.6830326999078
2021-03-21,132532375.42332284,-17796.16281435648,442.492781491223
2021-03-22,132847165.0608653,-468708.7178277725,444.3846330823406
2021-03-23,125488631.87775208,-1218814.904148392,425.9726486029915
2021-03-24,122473317.71020108,853181.9442883639,407.60227234965225
2021-03-25,111283150.30414076,802311.1535721867,371.44712388059247
2021-03-26,116552765.32846484,-551785.9683189892,389.6784289916369
2021-03-27,119163224.82603998,196811.31907932105,399.592742814838
2021-03-28,118810189.84699844,159628.50723610245,395.9438926249396
2021-03-29,126200658.62757257,4211512.355261384,398.6122941139226
2021-03-30,130148255.03946726,1834565.348732822,414.39756973389865
2021-03-31,130557446.19267696,2173764.247518146,408.3694736595176
2021-04-01,134335180.08446848,-1728546.9162321044,425.7441592959342
2021-04-02,138336544.05957252,735886.0250430469,437.2275090763669
2021-04-03,152291778.338103,6987970.8855627775,459.7643803066147
2021-04-04,149480880.99059704,493348.6951424684,449.04040315796726
2021-04-05,131613523.51265752,-17349125.096738342,446.9284908916459
2021-04-06,136830184.7476778,53412.42961885625,462.3550031648477
2021-04-07,122466012.7773009,-690832.2782124545,424.42295621312815
2021-04-08,125045517.26674628,-792933.1581807458,431.8576182992121
2021-04-09,124751652.01470836,-2860573.443380943,437.904148029206
2021-04-10,122733230.04336964,-1364269.1842510432,435.8286708014374
2021-04-11,121999393.05355065,789663.4293883224,431.5391552427957
2021-04-12,125344998.7700845,-846307.4900240279,449.95165317618313
2021-04-13,135189262.25381163,3500962.2109406614,471.1235879038425
2021-04-14,136920246.2417951,150170.48845982394,476.2931393290692
2021-04-15,150531265.410033,1083348.387113903,536.7551506676785
2021-04-16,155719925.67852935,1675369.9227297255,529.9318092509899
2021-04-17,156364745.27639034,734933.2286329495,531.1626762942958
2021-04-18,134482739.9084187,667278.5004370868,451.2095448145704
2021-04-19,135801011.69998926,-362648.66626187233,461.1645969286826
2021-04-20,128946756.91113073,1343890.188263325,433.83143061978905
2021-04-21,134527253.47958186,-105562.9490255008,452.9852359529501
2021-04-22,145692888.47944814,466090.0178077287,486.0759946603748
2021-04-23,130227865.11734818,-124289.212772011,431.7821350699937
2021-04-24,128332300.7475881,25830.398068616774,425.1490098616605
2021-04-25,128184265.95668451,-214381.5018651292,429.4082466761071
2021-04-26,142545431.63972074,129284.9770411264,477.7626687569002
2021-04-27,153093476.8246505,-382509.6195344476,515.6270625660798
2021-04-28,159992356.44240642,46553.725840129286,535.242550630723
2021-04-29,160972042.4397133,1327221.950380886,532.1910979621103
2021-04-30,159551065.91067642,-426354.6421830545,529.0873068804412
2021-05-01,166239675.0747563,280368.7622654824,555.7815797209595
2021-05-02,171117446.09619525,173461.05748837048,567.7521296252628
2021-05-03,182825919.74593577,2517092.258390925,599.2058205215903
2021-05-04,179657415.87265575,2751661.374630848,581.4161512192884
2021-05-05,178753090.89556128,1021425.3927017762,573.2944258027052
2021-05-06,179536089.901814,910180.7109944668,572.467860693949
2021-05-07,179242958.9592707,1244688.7241036808,567.8524630405699
2021-05-08,180052211.39876014,429184.3642662582,571.0975197412315
2021-05-09,181633433.03821656,2584099.015268725,566.1248908116575
2021-05-10,186322706.2474403,3260073.2975730505,569.9037292173098
2021-05-11,178361359.18171176,-560974.532662606,557.044675617175
2021-05-12,212137985.84865004,6752871.87884674,631.2193104260547
2021-05-13,198548082.78509185,1935339.7864728407,585.7584298587104
2021-05-14,207629617.5840937,1193423.2079724027,613.0535606388706
2021-05-15,206676421.23349664,604894.4174879661,605.047505911612
2021-05-16,198913425.52440375,1013740.0740910696,573.495667379123
2021-05-17,187512103.41920897,-742492.7583625716,546.423722945362
2021-05-18,209106939.44227657,2163648.359717545,599.5953255636374
2021-05-19,170274388.04497212,2100438.4923577392,487.15436003398383
2021-05-20,158538035.57926908,2335910.268754083,444.3839753636618
2021-05-21,156209599.70859787,-2232383.614218923,409.4028089533885
2021-05-22,122836381.84593584,165492.27917037508,346.7268448719759
2021-05-23,105301598.7260308,2600960.88102181,288.42464672802595
2021-05-24,129072312.36983022,3451704.0436410755,351.20296004719233
