Date,token_a_amount
28-08-21,1982.968034
29-08-21,2884.130619
30-08-21,3147.209721
31-08-21,5138.308879
01-09-21,5183.991521
02-09-21,3080.159824
03-09-21,2299.58151
04-09-21,4168.94503
05-09-21,13860.16771
06-09-21,13767.84903
07-09-21,52908.8015
08-09-21,31864.47891
09-09-21,17741.70207
10-09-21,16393.27701
11-09-21,4810.443624
12-09-21,3270.671396
13-09-21,15815.65394
14-09-21,20492.57933
15-09-21,10314.97806
16-09-21,3047.092615
17-09-21,18688.63486
18-09-21,5706.722458
19-09-21,10794.92972
20-09-21,11839.55648
21-09-21,7185.045069
22-09-21,6563.521448
23-09-21,5810.714674
24-09-21,6000.842777
25-09-21,5296.654488
26-09-21,23320.02924
27-09-21,7116.213849
28-09-21,4555.685876
29-09-21,3434.012653
30-09-21,2035.492771
01-10-21,3633.452127
02-10-21,5141.232726
03-10-21,1293.56829
04-10-21,4014.891019
05-10-21,3008.098009
06-10-21,2587.962907
07-10-21,1366.463205
08-10-21,2283.007435
09-10-21,1080.526258
10-10-21,2136.044356
11-10-21,2654.826636
12-10-21,2751.2078
13-10-21,2550.958716
14-10-21,4135.070668
15-10-21,3918.717602
16-10-21,3912.371495
17-10-21,2144.594055
18-10-21,1787.249427
19-10-21,3704.636242
20-10-21,9404.356156
21-10-21,4820.858439
22-10-21,3996.999734
23-10-21,1608.859329
24-10-21,3823.630093
25-10-21,2142.704754
26-10-21,7656.646709
27-10-21,7723.388141
28-10-21,1923.75312
29-10-21,3242.187211
30-10-21,1792.041572
31-10-21,3426.762287
01-11-21,7625.231832
02-11-21,2871.284434
03-11-21,2642.60042
04-11-21,2871.920285
05-11-21,5601.876027
06-11-21,2131.27326
07-11-21,2179.525634
08-11-21,4378.636117
09-11-21,3390.551174
10-11-21,7132.880039
11-11-21,1878.955574
12-11-21,2104.540113
13-11-21,1535.521918
14-11-21,3736.577257
15-11-21,1131.826201
16-11-21,3834.151367
17-11-21,9407.314316
18-11-21,1942.008946
19-11-21,4130.178709
20-11-21,1674.365284
21-11-21,947.9166957
22-11-21,3432.254189
23-11-21,3368.460356
24-11-21,2026.981553
25-11-21,2708.639861
26-11-21,6083.804578
27-11-21,3355.366528
28-11-21,3584.882774
29-11-21,1494.602985
30-11-21,3962.455718
01-12-21,3207.835863
02-12-21,3236.261857
03-12-21,2837.163456
04-12-21,11621.10689
05-12-21,5439.204333
06-12-21,8238.130194
07-12-21,4969.006546
08-12-21,5306.084132
09-12-21,3191.834548
10-12-21,6142.184143
11-12-21,2449.524081
12-12-21,1537.681395
13-12-21,6100.533407
14-12-21,2463.527564
15-12-21,4119.182105
16-12-21,2799.273828
17-12-21,4374.50566
18-12-21,4491.320138
19-12-21,5873.589732
20-12-21,1779.050257
21-12-21,2203.308083
22-12-21,573.8117687
23-12-21,15941.80104
24-12-21,2253.558471
25-12-21,514.6616006
26-12-21,4384.148942
27-12-21,5424.366445
28-12-21,18217.06052
29-12-21,1114.119491
30-12-21,7056.523601
31-12-21,6250.134621
01-01-22,7459.326794
02-01-22,1360.058978
03-01-22,5703.532255
04-01-22,2000.738249
05-01-22,3747.950357
06-01-22,8825.134875
07-01-22,5126.822406
08-01-22,2163.787457
09-01-22,2210.401109
10-01-22,3743.697916
11-01-22,1548.390901
12-01-22,3187.438715
13-01-22,594.3574043
14-01-22,3158.555477
15-01-22,2327.169203
16-01-22,5092.64283
17-01-22,1086.712945
18-01-22,942.8608117
19-01-22,1053.029621
20-01-22,3806.144369
21-01-22,11208.92005
22-01-22,13484.15129
23-01-22,2211.728089
24-01-22,2552.09589
25-01-22,4782.438742
26-01-22,8050.107913
27-01-22,15878.90684
28-01-22,2900.679224
29-01-22,874.954019
30-01-22,352.0800829
31-01-22,1396.013356
01-02-22,805.5821592
02-02-22,11881.09223
03-02-22,402.547388
04-02-22,1111.914157
05-02-22,1204.197319
06-02-22,2334.091726
07-02-22,762.6674474
08-02-22,559.7587294
09-02-22,173.1319958
10-02-22,2762.957534
11-02-22,566.6981726
12-02-22,495.8772921
13-02-22,1405.469027
14-02-22,859.5880283
15-02-22,732.497067
16-02-22,185.6346569
17-02-22,1490.072415
18-02-22,612.8494541
19-02-22,2104.795055
20-02-22,2057.933428
21-02-22,1296.110564
22-02-22,1541.600009
23-02-22,1585.640584
24-02-22,1681.395759
25-02-22,467.6516313
26-02-22,190.4107078
27-02-22,695.049029
28-02-22,1000.371237
01-03-22,1430.692637
02-03-22,2012.045551
03-03-22,170.3209203
04-03-22,1134.754939
05-03-22,625.2935032
06-03-22,655.2736843
07-03-22,717.2075563
08-03-22,1681.665116
09-03-22,1833.877563
10-03-22,864.2509876
11-03-22,1447.303081
12-03-22,769.2634924
13-03-22,280.8035517
14-03-22,115.4683952
15-03-22,171.7353751
16-03-22,778.4023735
17-03-22,1024.053737
18-03-22,503.5458702
19-03-22,1098.761467
