Date,BNB_price,WBTC_price,WETH_price,UNI_price,AAVE_price,MKR_price,SNX_price,COMP_price,fear_index,aum,net_flow,DPI_price,Umichigan_survey,ISM_Manufacturing,SPX,NASDAQ,Inflation_CPI,Inflation_PCE,10yr_bond,Fed_funds_rate,2yr_bond,Inflations_expectations,Inflation_surprises,Economic_surprises,Hourly_earnings,MS_Market_Sentiment,VIX,SOFR
2020-11-21,29.46563194444438,18664.29381249997,523.4707916666667,3.764361111111076,73.75504861111112,535.3946458333324,5.231920138888889,120.63691666666676,2.0,32777829.63349481,937054.2013725356,104.66035151217535,81.8,58.8,3557.54,11854.97,0.1,0.0,0.82,0.25,0.16,2.84,22.75,0.75,4.6,0.91,23.7,0.05
2020-11-22,30.05513194444453,18369.039750000087,547.3879305555533,3.697465277777788,69.19061111111114,546.9560972222231,4.978534722222233,120.42995833333356,2.0,33203833.574977987,1353520.437155584,101.95050957502652,81.8,58.8,3557.54,11854.97,0.1,0.0,0.82,0.25,0.16,2.84,22.75,0.75,4.6,0.91,23.7,0.05
2020-11-23,30.478270833333333,18403.15231250003,587.227722222223,3.856631944444433,70.21031944444475,581.6360138888878,5.2587708333333065,122.76263888888884,2.0,35468493.109101295,710531.7209227411,106.62948953101407,81.8,58.8,3577.59,11880.63,0.1,0.0,0.85,0.25,0.16,2.84,22.75,0.75,4.6,0.9,22.66,0.05
2020-11-24,32.9932222222221,18815.22609027781,608.0828680555517,4.1555625,69.91043749999987,602.1498055555539,5.384111111111138,127.91966666666656,2.0,36374232.26514397,475973.0525789787,107.93379192218104,81.8,58.8,3635.41,12036.79,0.1,0.0,0.88,0.25,0.16,2.84,22.75,0.71,4.6,0.99,21.64,0.07
2020-11-25,33.09555555555563,19038.56277083338,592.3969861111133,3.962965277777786,64.92172916666647,594.2454375,5.012138888888907,129.6352569444443,2.0,35550239.51753508,-230617.56026177332,106.1038403581887,81.8,58.8,3629.65,12094.4,0.1,0.0,0.88,0.25,0.16,2.84,22.75,0.65,4.6,1.04,21.25,0.08
2020-11-26,28.790854166666765,17401.14639583333,521.8899027777775,3.359083333333328,59.15272916666663,524.4461944444437,4.125201388888916,108.554645833333,2.0,30040887.875640824,-336509.78572834504,90.7384037610174,81.8,58.8,3629.65,12094.4,0.1,0.0,0.88,0.25,0.16,2.84,22.75,0.65,4.6,1.05,21.25,0.08
2020-11-27,28.148541666666723,16987.644145833267,514.9377708333353,3.345354166666678,62.243624999999874,521.2520694444449,4.16913194444447,104.80780555555508,2.0,29808701.540010106,-501873.33762667584,91.62380940252378,81.8,58.8,3638.35,12205.85,0.1,0.0,0.84,0.25,0.15,2.84,22.75,0.65,4.6,1.01,20.84,0.08
2020-11-28,28.75341666666663,17284.14745833327,525.5263402777773,3.378680555555595,62.1692291666668,520.5888333333311,4.190805555555583,106.19597916666652,2.0,30000602.861053288,-41509.646831384125,92.29854687836844,81.8,58.8,3638.35,12205.85,0.1,0.0,0.84,0.25,0.15,2.84,22.75,0.65,4.6,1.01,20.84,0.08
2020-11-29,29.628645833333188,17973.686444444418,550.4591111111122,3.453826388888888,65.47786805555558,534.5387152777794,4.287680555555539,108.72374305555576,2.0,30998574.070344727,-227027.6453303784,95.74785224194888,81.8,58.8,3638.35,12205.85,0.1,0.0,0.84,0.25,0.15,2.84,22.75,0.65,4.6,1.01,20.84,0.08
2020-11-30,30.623791666666644,18863.121361111043,593.3518541666651,3.6705416666666912,75.05730555555587,556.5651458333313,4.751975694444498,111.81331249999982,2.0,33878657.53396684,507896.0714477695,103.18460828576532,76.9,57.3,3621.63,12198.74,0.1,0.0,0.84,0.25,0.15,2.96,14.77,0.59,4.6,0.94,20.57,0.09
