product,day,usd_volume,av 
DPI,2021-01-24T00:00:00+00:00,6.96E+06,5.55E+06
DPI,2021-01-25T00:00:00+00:00,8.08E+06,5.74E+06
DPI,2021-01-26T00:00:00+00:00,7.80E+06,6.09E+06
DPI,2021-01-27T00:00:00+00:00,7.27E+06,6.03E+06
DPI,2021-01-28T00:00:00+00:00,8.06E+06,6.57E+06
DPI,2021-01-29T00:00:00+00:00,7.73E+06,6.95E+06
DPI,2021-01-30T00:00:00+00:00,5.03E+06,6.93E+06
DPI,2021-01-31T00:00:00+00:00,8.16E+06,7.39E+06
DPI,2021-02-01T00:00:00+00:00,6.50E+06,7.33E+06
DPI,2021-02-02T00:00:00+00:00,8.12E+06,7.34E+06
DPI,2021-02-03T00:00:00+00:00,6.10E+06,7.12E+06
DPI,2021-02-04T00:00:00+00:00,1.05E+07,7.53E+06
DPI,2021-02-05T00:00:00+00:00,1.34E+07,8.20E+06
DPI,2021-02-06T00:00:00+00:00,1.19E+07,8.72E+06
DPI,2021-02-07T00:00:00+00:00,6.81E+06,8.95E+06
DPI,2021-02-08T00:00:00+00:00,1.25E+07,9.48E+06
DPI,2021-02-09T00:00:00+00:00,8.33E+06,9.71E+06
DPI,2021-02-10T00:00:00+00:00,1.01E+07,9.95E+06
DPI,2021-02-11T00:00:00+00:00,6.31E+06,9.98E+06
DPI,2021-02-12T00:00:00+00:00,7.97E+06,9.66E+06
DPI,2021-02-13T00:00:00+00:00,6.17E+06,8.76E+06
DPI,2021-02-14T00:00:00+00:00,7.66E+06,8.22E+06
DPI,2021-02-15T00:00:00+00:00,8.39E+06,8.42E+06
DPI,2021-02-16T00:00:00+00:00,6.44E+06,7.66E+06
DPI,2021-02-17T00:00:00+00:00,1.01E+07,7.89E+06
DPI,2021-02-18T00:00:00+00:00,7.92E+06,7.62E+06
DPI,2021-02-19T00:00:00+00:00,7.11E+06,7.72E+06
DPI,2021-02-20T00:00:00+00:00,1.36E+07,8.42E+06
DPI,2021-02-21T00:00:00+00:00,7.30E+06,8.56E+06
DPI,2021-02-22T00:00:00+00:00,6.30E+06,8.39E+06
DPI,2021-02-23T00:00:00+00:00,8.81E+06,8.45E+06
DPI,2021-02-24T00:00:00+00:00,5.17E+06,8.29E+06
DPI,2021-02-25T00:00:00+00:00,7.54E+06,7.97E+06
DPI,2021-02-26T00:00:00+00:00,4.82E+06,7.58E+06
DPI,2021-02-27T00:00:00+00:00,2.62E+06,7.02E+06
DPI,2021-02-28T00:00:00+00:00,4.81E+06,5.92E+06
DPI,2021-03-01T00:00:00+00:00,6.03E+06,5.76E+06
DPI,2021-03-02T00:00:00+00:00,7.19E+06,5.87E+06
DPI,2021-03-03T00:00:00+00:00,4.27E+06,5.31E+06
DPI,2021-03-04T00:00:00+00:00,4.57E+06,5.23E+06
DPI,2021-03-05T00:00:00+00:00,3.05E+06,4.67E+06
DPI,2021-03-06T00:00:00+00:00,2.45E+06,4.37E+06
DPI,2021-03-07T00:00:00+00:00,6.09E+06,4.81E+06
DPI,2021-03-08T00:00:00+00:00,4.59E+06,4.78E+06
DPI,2021-03-09T00:00:00+00:00,3.66E+06,4.48E+06
DPI,2021-03-10T00:00:00+00:00,4.82E+06,4.19E+06
DPI,2021-03-11T00:00:00+00:00,5.56E+06,4.35E+06
DPI,2021-03-12T00:00:00+00:00,3.75E+06,4.25E+06
DPI,2021-03-13T00:00:00+00:00,4.43E+06,4.42E+06
DPI,2021-03-14T00:00:00+00:00,2.78E+06,4.46E+06
DPI,2021-03-15T00:00:00+00:00,3.10E+06,4.09E+06
DPI,2021-03-16T00:00:00+00:00,1.40E+06,3.69E+06
DPI,2021-03-17T00:00:00+00:00,4.63E+06,3.81E+06
DPI,2021-03-18T00:00:00+00:00,4.62E+06,3.78E+06
DPI,2021-03-19T00:00:00+00:00,2.75E+06,3.43E+06
DPI,2021-03-20T00:00:00+00:00,6.28E+06,3.75E+06
DPI,2021-03-21T00:00:00+00:00,2.37E+06,3.49E+06
DPI,2021-03-22T00:00:00+00:00,2.23E+06,3.42E+06
DPI,2021-03-23T00:00:00+00:00,6.66E+06,3.87E+06
DPI,2021-03-24T00:00:00+00:00,3.96E+06,4.19E+06
DPI,2021-03-25T00:00:00+00:00,3.89E+06,4.09E+06
DPI,2021-03-26T00:00:00+00:00,2.48E+06,3.83E+06
DPI,2021-03-27T00:00:00+00:00,1.18E+06,3.63E+06
DPI,2021-03-28T00:00:00+00:00,3.43E+06,3.27E+06
DPI,2021-03-29T00:00:00+00:00,1.34E+07,4.65E+06
DPI,2021-03-30T00:00:00+00:00,5.52E+06,5.06E+06
DPI,2021-03-31T00:00:00+00:00,7.21E+06,5.13E+06
DPI,2021-04-01T00:00:00+00:00,3.24E+06,5.04E+06
DPI,2021-04-02T00:00:00+00:00,3.50E+06,4.99E+06
DPI,2021-04-03T00:00:00+00:00,1.90E+07,7.05E+06
DPI,2021-04-04T00:00:00+00:00,7.48E+06,7.84E+06
DPI,2021-04-05T00:00:00+00:00,1.24E+07,8.97E+06
DPI,2021-04-06T00:00:00+00:00,6.65E+06,8.13E+06
DPI,2021-04-07T00:00:00+00:00,1.32E+07,9.09E+06
DPI,2021-04-08T00:00:00+00:00,9.91E+06,9.43E+06
DPI,2021-04-09T00:00:00+00:00,1.56E+07,1.10E+07
DPI,2021-04-10T00:00:00+00:00,1.79E+07,1.28E+07
DPI,2021-04-11T00:00:00+00:00,6.34E+06,1.12E+07
DPI,2021-04-12T00:00:00+00:00,1.02E+07,1.15E+07
DPI,2021-04-13T00:00:00+00:00,1.10E+07,1.14E+07
DPI,2021-04-14T00:00:00+00:00,6.26E+06,1.13E+07
DPI,2021-04-15T00:00:00+00:00,1.33E+07,1.13E+07
DPI,2021-04-16T00:00:00+00:00,6.84E+06,1.09E+07
DPI,2021-04-17T00:00:00+00:00,5.43E+06,9.66E+06
DPI,2021-04-18T00:00:00+00:00,6.97E+06,8.29E+06
DPI,2021-04-19T00:00:00+00:00,4.11E+06,8.01E+06
DPI,2021-04-20T00:00:00+00:00,6.91E+06,7.59E+06
DPI,2021-04-21T00:00:00+00:00,6.32E+06,7.01E+06
DPI,2021-04-22T00:00:00+00:00,7.21E+06,7.13E+06
DPI,2021-04-23T00:00:00+00:00,9.57E+06,6.67E+06
DPI,2021-04-24T00:00:00+00:00,2.18E+06,6.09E+06
DPI,2021-04-25T00:00:00+00:00,2.90E+06,5.77E+06
DPI,2021-04-26T00:00:00+00:00,5.12E+06,5.54E+06
DPI,2021-04-27T00:00:00+00:00,6.79E+06,5.88E+06
DPI,2021-04-28T00:00:00+00:00,3.79E+06,5.49E+06
DPI,2021-04-29T00:00:00+00:00,6.11E+06,5.46E+06
DPI,2021-04-30T00:00:00+00:00,2.54E+06,4.87E+06
DPI,2021-05-01T00:00:00+00:00,6.35E+06,4.47E+06
DPI,2021-05-02T00:00:00+00:00,3.50E+06,4.64E+06
DPI,2021-05-03T00:00:00+00:00,8.81E+06,5.37E+06
DPI,2021-05-04T00:00:00+00:00,9.48E+06,5.92E+06
DPI,2021-05-05T00:00:00+00:00,3.38E+06,5.49E+06
DPI,2021-05-06T00:00:00+00:00,2.98E+06,5.39E+06
DPI,2021-05-07T00:00:00+00:00,4.91E+06,5.24E+06
DPI,2021-05-08T00:00:00+00:00,4.60E+06,5.50E+06
DPI,2021-05-09T00:00:00+00:00,4.86E+06,5.31E+06
DPI,2021-05-10T00:00:00+00:00,1.05E+07,6.19E+06
DPI,2021-05-11T00:00:00+00:00,5.23E+06,5.74E+06
DPI,2021-05-12T00:00:00+00:00,2.56E+07,7.75E+06
DPI,2021-05-13T00:00:00+00:00,1.50E+07,9.20E+06
DPI,2021-05-14T00:00:00+00:00,9.80E+06,1.01E+07
DPI,2021-05-15T00:00:00+00:00,8.71E+06,1.05E+07
DPI,2021-05-16T00:00:00+00:00,7.20E+06,1.09E+07
DPI,2021-05-17T00:00:00+00:00,1.47E+07,1.21E+07
DPI,2021-05-18T00:00:00+00:00,1.94E+07,1.32E+07
DPI,2021-05-19T00:00:00+00:00,2.10E+07,1.52E+07
DPI,2021-05-20T00:00:00+00:00,1.27E+07,1.36E+07
DPI,2021-05-21T00:00:00+00:00,1.24E+07,1.32E+07
DPI,2021-05-22T00:00:00+00:00,9.90E+06,1.32E+07
DPI,2021-05-23T00:00:00+00:00,1.73E+07,1.43E+07
DPI,2021-05-24T00:00:00+00:00,1.70E+07,1.55E+07
DPI,2021-05-25T00:00:00+00:00,1.37E+07,1.54E+07
DPI,2021-05-26T00:00:00+00:00,1.31E+07,1.46E+07
DPI,2021-05-27T00:00:00+00:00,1.24E+07,1.36E+07
DPI,2021-05-28T00:00:00+00:00,1.11E+07,1.34E+07
DPI,2021-05-29T00:00:00+00:00,2.41E+07,1.48E+07
DPI,2021-05-30T00:00:00+00:00,4.14E+06,1.41E+07
DPI,2021-05-31T00:00:00+00:00,1.90E+07,1.43E+07
DPI,2021-06-01T00:00:00+00:00,1.46E+07,1.40E+07
DPI,2021-06-02T00:00:00+00:00,1.31E+07,1.39E+07
DPI,2021-06-03T00:00:00+00:00,6.59E+06,1.31E+07
DPI,2021-06-04T00:00:00+00:00,3.34E+06,1.20E+07
DPI,2021-06-05T00:00:00+00:00,1.75E+06,1.08E+07
DPI,2021-06-06T00:00:00+00:00,1.70E+06,8.02E+06
DPI,2021-06-07T00:00:00+00:00,4.52E+06,8.07E+06
DPI,2021-06-08T00:00:00+00:00,5.24E+06,6.35E+06
DPI,2021-06-09T00:00:00+00:00,2.80E+06,4.88E+06
DPI,2021-06-10T00:00:00+00:00,4.97E+06,3.86E+06
DPI,2021-06-11T00:00:00+00:00,2.31E+06,3.33E+06
DPI,2021-06-12T00:00:00+00:00,2.80E+06,3.26E+06
DPI,2021-06-13T00:00:00+00:00,5.09E+06,3.68E+06
DPI,2021-06-14T00:00:00+00:00,1.41E+06,3.64E+06
DPI,2021-06-15T00:00:00+00:00,1.85E+06,3.31E+06
DPI,2021-06-16T00:00:00+00:00,3.05E+06,3.03E+06
DPI,2021-06-17T00:00:00+00:00,1.27E+06,2.84E+06
DPI,2021-06-18T00:00:00+00:00,2.48E+06,2.53E+06
DPI,2021-06-19T00:00:00+00:00,533824.8915,2.31E+06
DPI,2021-06-20T00:00:00+00:00,1.62E+06,2.16E+06
DPI,2021-06-21T00:00:00+00:00,3.82E+06,2.00E+06
DPI,2021-06-22T00:00:00+00:00,6.83E+06,2.68E+06
DPI,2021-06-23T00:00:00+00:00,1.89E+06,2.69E+06
DPI,2021-06-24T00:00:00+00:00,2.00E+06,2.56E+06
DPI,2021-06-25T00:00:00+00:00,2.03E+06,2.65E+06
DPI,2021-06-26T00:00:00+00:00,2.26E+06,2.62E+06
DPI,2021-06-27T00:00:00+00:00,1.26E+06,2.71E+06
DPI,2021-06-28T00:00:00+00:00,2.83E+06,2.87E+06
DPI,2021-06-29T00:00:00+00:00,2.06E+06,2.65E+06
DPI,2021-06-30T00:00:00+00:00,2.21E+06,2.07E+06
DPI,2021-07-01T00:00:00+00:00,6.12E+06,2.60E+06
DPI,2021-07-02T00:00:00+00:00,1.94E+06,2.59E+06
DPI,2021-07-03T00:00:00+00:00,1.77E+06,2.56E+06
DPI,2021-07-04T00:00:00+00:00,3.23E+06,2.68E+06
DPI,2021-07-05T00:00:00+00:00,4.19E+06,3.04E+06
DPI,2021-07-06T00:00:00+00:00,6.81E+06,3.54E+06
DPI,2021-07-07T00:00:00+00:00,3.07E+06,3.67E+06
DPI,2021-07-08T00:00:00+00:00,5.62E+06,4.09E+06
DPI,2021-07-09T00:00:00+00:00,3.81E+06,3.81E+06
DPI,2021-07-10T00:00:00+00:00,2.00E+06,3.81E+06
